CIK,COMPANY_NAME,FILING_DATE,ACCESSION_NUMBER,SIC_CODE,SIC_DESCRIPTION,SECTOR,SHARES_OFFERED,FINAL_PRICE,GROSS_PROCEEDS,EXTRACTION_METHOD,TRAILING_REVENUE,SHARES_OUTSTANDING,IMPLIED_MARKET_CAP,PRICE_TO_SALES_RATIO,FILING_QUARTER,FILING_YEAR,SECTOR_AVG_PS,SECTOR_MEDIAN_PS,VALUATION_FLAG
1709941,"BioAge Labs, Inc.",2024-09-26,0001193125-24-226927,2834,Pharmaceutical Preparations,Pharmaceuticals,11000000,18.00000000,198000000.00000000,regex,8995000,44386785,798962130.00000000,88.822916064,2024-07-01,2024-01-01,81.152935495,22.384372075,Richly valued
1962011,"Kairos Pharma, LTD.",2024-09-17,0001493152-24-036474,2834,Pharmaceutical Preparations,Pharmaceuticals,1550000,4.00000000,6200000.00000000,regex,,,6200000.00000000,,2024-07-01,2024-01-01,81.152935495,22.384372075,No revenue data
1953926,"Zenas BioPharma, Inc.",2024-09-13,0001104659-24-099805,2834,Pharmaceutical Preparations,Pharmaceuticals,13235294,17.00000000,224999998.00000000,regex,10000000,54485518,926253806.00000000,92.6253806,2024-07-01,2024-01-01,81.152935495,22.384372075,Richly valued
2023658,Bicara Therapeutics Inc.,2024-09-13,0001193125-24-218862,2834,Pharmaceutical Preparations,Pharmaceuticals,17500000,18.00000000,315000000.00000000,regex,,,315000000.00000000,,2024-07-01,2024-01-01,81.152935495,22.384372075,No revenue data
1979887,XCHG Ltd,2024-09-10,0001104659-24-098594,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",Other,3333335,6.20000000,20666677.00000000,regex,,,20666677.00000000,,2024-07-01,2024-01-01,59.649200047,1.389977905,No revenue data
2011208,Safe Pro Group Inc.,2024-08-29,0001493152-24-034264,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Medical Devices,1020000,5.00000000,5100000.00000000,regex,606681,20736816,103684080.00000000,170.903786339,2024-07-01,2024-01-01,150.658188517,150.658188517,In line with sector
1929783,WORK Medical Technology Group LTD,2024-08-26,0001213900-24-072468,3841,Surgical & Medical Instruments & Apparatus,Medical Devices,2000000,4.00000000,8000000.00000000,regex,,,8000000.00000000,,2024-07-01,2024-01-01,150.658188517,150.658188517,No revenue data
1872090,YXT.COM GROUP HOLDING Ltd,2024-08-16,0001193125-24-202129,7372,Services-Prepackaged Software,Software & IT Services,2273000,11.00000000,25003000.00000000,regex,,,25003000.00000000,,2024-07-01,2024-01-01,3.796173442,3.182158682,No revenue data
1476963,"Scorpius Holdings, Inc.",2024-08-16,0001079973-24-001276,2834,Pharmaceutical Preparations,Pharmaceuticals,2428000,1.00000000,2428000.00000000,regex,5793849,61142712,61142712.00000000,10.553038576,2024-07-01,2024-01-01,81.152935495,22.384372075,Cheaply valued
1652935,"ACTUATE THERAPEUTICS, INC.",2024-08-13,0001104659-24-088877,2834,Pharmaceutical Preparations,Pharmaceuticals,2800000,8.00000000,22400000.00000000,regex,,,22400000.00000000,,2024-07-01,2024-01-01,81.152935495,22.384372075,No revenue data
